Absolute Time,X,Y,N,alpha_VSP1,alpha_VSP2,omega_VSP1,omega_VSP2,u_BT,u_VSP1,u_VSP2
3571910491.160816,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.170814,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.180814,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.190815,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.200818,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.210816,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.220817,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.230817,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.240817,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.250817,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.260818,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.270817,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.280819,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.290819,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.300820,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.310819,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.320820,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.330821,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.340820,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.350821,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.360820,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.370821,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.380824,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.390821,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.400823,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.410824,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.420823,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.430824,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
3571910491.440824,-0.000000,1.000000,-0.000000,1.570796,1.570796,0.300000,0.300000,0.205941,0.393631,0.393631
