Absolute Time,x_noise,x_hat,y_noise,y_hat,psi_noise,psi_hat
3571296720.281344,4.588941,4.529419,1.826885,1.789142,-1.298778,-1.325005
3571296720.291344,4.510587,4.532055,1.741174,1.793272,-1.299718,-1.323809
3571296720.301340,4.496594,4.530744,1.777226,1.793022,-1.355962,-1.322713
3571296720.311345,4.580504,4.528942,1.753990,1.794553,-1.272584,-1.324416
3571296720.321344,4.578254,4.531128,1.813550,1.794858,-1.332170,-1.321967
3571296720.331345,4.568085,4.533234,1.815110,1.798069,-1.317672,-1.322542
3571296720.341346,4.537285,4.534708,1.686524,1.801198,-1.312805,-1.322383
3571296720.351346,4.467685,4.534596,1.819066,1.797901,-1.406965,-1.321994
3571296720.361347,4.577022,4.531311,1.759421,1.801242,-1.232041,-1.326222
3571296720.371346,4.652934,4.533116,1.826868,1.801473,-1.464965,-1.321713
3571296720.381346,4.600181,4.539072,1.797650,1.805019,-1.312562,-1.328788
